Country,Code,C00,C05,C10,C15,C20,C25,C30,C35,C40,C45,C50,C55,C60,C65,C70,C75,C80
Hong Kong,HKG,4.48,4.06,3.81,3.67,5.02,6.26,7.08,7.78,7.41,7.57,7.53,8.58,7.96,6.11,4.71,2.69,5.27
Hungary,HUN,4.83,4.7,5.07,5.02,5.47,6.44,6.39,6.61,8.41,7.89,6.92,5.84,6.47,6.64,5.02,3.81,4.46
Iceland,ISL,5.89,6.28,6.54,6.08,6.99,8.28,7.64,7.11,6.64,6.35,5.98,6,5.64,4.7,3.79,2.63,3.48
India,IND,8.36,8.75,9,9.24,8.96,8.56,8.09,7.35,6.46,5.76,4.99,4.27,3.52,2.74,1.79,1.1,1.07
Indonesia,IDN,8.32,8.79,8.61,8.12,8.05,7.73,7.57,7.7,7.23,6.6,5.87,4.92,3.78,2.65,1.81,1.24,1.02
Iran,IRN,8.31,8.42,7.26,6.42,6.48,8.38,10.12,9.86,7.71,6.24,5.35,4.49,3.83,2.96,1.94,1.15,1.07
Iraq,IRQ,13.34,13.53,11.61,10.37,9.37,8.27,6.85,5.89,5.13,4.45,3.58,2.61,1.61,1.48,0.93,0.58,0.42
Ireland,IRL,6.23,6.88,7.08,6.52,6.19,5.82,6.44,7.7,7.94,7.25,6.36,5.84,5.2,4.52,3.89,2.74,3.39
Isle of Man,IMN,4.33,5.2,5.62,5.25,5.25,5.29,5.61,5.89,6.15,7.16,7.85,7.86,6.69,5.92,5.99,4.26,5.66
Israel,ISR,10.24,9.53,8.47,7.82,7.24,6.72,6.66,6.52,6.23,5.73,4.7,4.28,4.05,3.79,3.18,1.82,3.02
Italy,ITA,3.75,4.36,4.76,4.81,4.98,5.22,5.5,5.95,6.9,7.95,8.17,7.72,6.61,5.84,5.67,4.35,7.45
Jamaica,JAM,6.17,6.95,7.71,8.14,9.12,9.52,8.91,8.1,6.79,6.26,5.96,5.16,4.16,2.77,1.88,1.34,1.04
Japan,JPN,3.55,4.07,4.32,4.56,4.83,4.87,5.21,5.74,6.71,7.73,6.8,6.25,5.87,6.48,7.43,5.79,9.79
Jordan,JOR,10.9,11.24,10.95,9.53,9.13,8.88,7.81,6.84,5.95,5.24,4.37,3.28,2.25,1.49,0.97,0.62,0.54
Kazakhstan,KAZ,10.51,10.02,8.79,6.51,6.08,7.39,8.38,7.26,6.35,5.84,5.26,5.28,4.55,3.33,2.07,1.05,1.32
Kenya,KEN,13.24,12.89,12.85,11.18,9.38,8.17,7.43,6.19,4.93,3.93,3.08,2.3,1.62,1.05,0.76,0.46,0.53
Kiribati,KIR,13.13,12.5,10.61,8.76,9.3,8.52,7.78,6.56,5.03,4.15,4.31,3.47,2.23,1.66,1.08,0.59,0.33
South Korea,PRK,6.56,6.15,6.31,6.81,7.39,7.71,7.18,6.72,6.3,7.87,8.18,6.32,5.43,3.2,3.22,2.48,2.18
North Korea,KOR,3.43,4.37,4.36,4.88,6.48,6.99,6.36,7.46,7.5,8.41,8.4,8.16,7.37,5.12,3.84,3.08,3.8
Kosovo,XKX,5.98,7.92,8.74,9.54,8.49,7.74,7.26,6.72,6.59,6.35,5.74,5.07,4.18,3.31,2.48,1.87,2.03
Kuwait,KWT,6.66,8.03,6.98,5.58,4.93,4.28,7.68,11.63,12.12,11.35,7.98,5.38,3.47,2.01,0.94,0.55,0.42
Kyrgyz Republic,KGZ,12.62,12.06,9.7,8.02,8.26,9.04,8.55,6.51,5.14,4.66,4.04,4.01,3.14,2.01,1.06,0.42,0.76
Lao PDR,LAO,10.8,10.35,10.22,9.88,9.73,9.09,8.29,6.97,5.68,4.74,4.01,3.37,2.59,1.8,1.16,0.71,0.61
Latvia,LVA,5.21,5.22,5.35,4.79,4.48,5.85,7.03,6.85,6.4,6.94,6.79,7.14,6.96,5.9,4.91,4.09,6.1
Lebanon,LBN,8.36,10,9.53,8.82,7.96,6.66,6.35,6.4,5.88,5.68,5.81,5.03,4.2,3.25,2.53,1.64,1.91
Lesotho,LSO,12.19,11.47,10.57,10.1,9.65,9.15,8.42,6.77,5.13,3.82,3.25,2.9,2.38,1.66,1.15,0.67,0.72
Liberia,LBR,14.55,13.95,12.96,11.01,8.9,7.11,6.24,5.74,5.03,3.97,3.08,2.31,1.77,1.35,0.96,0.64,0.42
Libya,LBY,9.37,9.96,10.06,9.27,8.24,7.29,7.14,7.58,7.78,6.84,5.34,3.82,2.5,1.69,1.32,0.94,0.86
Liechtenstein,LIE,4.82,4.86,4.96,5.06,5.66,5.9,6.31,6.53,6.63,7.45,8.34,8.08,6.93,5.74,4.97,3.79,3.96
Lithuania,LTU,5.15,5.2,4.8,4.62,5.43,6.51,6.76,6.23,6.23,6.95,7.23,7.65,7.15,5.55,4.58,3.94,6.02
Luxembourg,LUX,5.25,5.41,5.31,5.26,6.12,7.54,7.97,7.82,7.56,7.33,7.45,6.85,5.55,4.42,3.58,2.6,3.97
Macao (China),MAC,5.91,4.77,3.74,4.21,6.85,8.8,10.14,8.64,7.42,6.91,7.05,7.65,6.22,4.81,2.79,1.56,2.54
Madagascar,MDG,14.47,13.1,12.15,10.69,9.61,8.13,6.58,5.47,4.79,4.09,3.19,2.5,1.98,1.47,0.88,0.49,0.4
Malawi,MWI,15.43,14.62,13.71,11.6,9.34,7.66,6.56,5.87,4.47,2.97,2.15,1.65,1.19,0.87,0.76,0.55,0.59
Malaysia,MYS,7.8,7.77,7.7,8.2,8.58,9.08,9.13,8.35,6.81,5.88,5.3,4.59,3.78,2.84,1.93,1.2,1.05
Maldives,MDV,7.63,7.7,6.86,6.13,8.28,11.39,13,10.6,7.4,5.67,4.55,3.63,2.73,1.51,1.05,0.86,1
Mali,MLI,18.42,15.78,13.41,10.95,8.51,6.95,5.94,5.09,4.09,3.08,2.25,1.69,1.34,1.06,0.75,0.45,0.24
Malta,MLT,4.55,4.46,4.19,4.21,6.2,8.9,9.23,8.21,7.34,6.32,5.52,5.93,6.01,5.4,5.47,3.53,4.52
